session_id,visitor_id,timestamp,visitor_session_number,visitor_returning,source_medium,campaign_name,session_goals,session_total_page_views,session_total_events,visitor_days_since_last_session,visitor_days_since_first_session,location_country_name
256976838898195894,55e0f497209a7de8,2021-03-19T05:08:02,25,"[1, 'Returning']",www.economist.com / referral,,[],1,4,12.0,19,"['GB', 'United Kingdom']"
271519866431514624,64aadaeb5c8a8400,2021-01-21T04:04:01,9,"[1, 'Returning']",google / referral,,[],3,4,22.0,23,"['NL', 'Netherlands']"
290610496497395712,f692f774838713be,2021-03-27T20:14:40,16,"[1, 'Returning']",google / direct,the best saving account,[],1,6,16.0,20,"['SE', 'Sweden']"
302432788737236221,8486181ef588301b,2021-03-10T16:35:43,27,"[1, 'Returning']",www.wsj.com / referral,,[],1,4,2.0,4,"['SE', 'Sweden']"
307465253605140480,7ffb01dfb283d400,2021-01-14T09:02:02,15,"[1, 'Returning']",google / organic,,[],0,5,5.0,7,"['CN', 'China']"
315751670552178439,066bc940dceb5787,2021-01-21T02:38:48,26,"[1, 'Returning']",,,[],1,4,23.0,29,"['US', 'United States']"
318741457915330334,72afc8fcb5ff0000,2021-02-25T00:08:19,20,"[1, 'Returning']",banner / cpc,the best saving account,"[2, 1, 8, 10]",10,34,26.0,12,"['IT', 'Italy']"
326230763705181029,0112c39c0c9d0e08,2021-03-14T18:29:27,25,"[1, 'Returning']",www.economist.com / referral,,[],5,16,15.0,4,"['CN', 'China']"
335658843578428584,4e77c423c9efcc00,2021-03-17T09:36:40,30,"[1, 'Returning']",direct / direct,,[],5,9,2.0,29,"['CN', 'China']"
339207715784449896,1a3b4bd6342ae600,2021-03-17T02:35:31,14,"[1, 'Returning']",credit_card / banner,credit card promotion,"[1, 8]",5,28,30.0,27,"[None, '']"
363815443307222955,221169255292ba00,2021-03-06T23:27:43,17,"[1, 'Returning']",adwords / cpc,car loan,[],1,4,1.0,13,"['QA', 'Qatar']"
365683065696252581,829ac8f26479e000,2021-01-21T13:58:02,8,"[1, 'Returning']",credit_card / banner,credit card promotion,[],1,6,17.0,13,"['US', 'United States']"
367958771384190119,82abda8fa5ef2000,2021-01-11T19:07:08,20,"[1, 'Returning']",www.wsj.com / referral,,[],1,4,19.0,26,"['ES', 'Spain']"
403421208327534592,1c0ae2eb467bed00,2021-01-21T19:42:57,21,"[1, 'Returning']",bing / direct,,[],1,12,8.0,27,"['JP', 'Japan']"
404922707829653926,84c89e0b0f735800,2021-02-03T16:59:21,20,"[1, 'Returning']",www.economist.com / referral,,[],1,3,16.0,21,"['AU', 'Australia']"
413344958457001984,559c2b4ad2b63000,2021-03-14T13:55:09,10,"[1, 'Returning']",bing / referral,,[],0,5,13.0,2,"['VE', 'Venezuela']"
420333464921567232,896565d1a5504000,2021-03-14T19:47:26,19,"[1, 'Returning']",google / direct,car loan,[],0,2,17.0,5,"['GB', 'United Kingdom']"
431770315035848704,851d0ecc626fb800,2021-01-28T12:24:03,1,"[1, 'Returning']",bing / referral,,[],0,7,29.0,10,"['HR', 'Croatia']"
449949277250940928,eea28516fd210211,2021-03-05T20:52:16,24,"[1, 'Returning']",bing / cpc,,[],0,3,26.0,12,"['CN', 'China']"
479725253952884627,224ff0eccdc44e00,2021-03-07T07:33:34,27,"[1, 'Returning']",video / cpv,your first loan,[],3,24,16.0,9,"['US', 'United States']"
492757962065635328,4f4fa8bc17229800,2021-02-08T21:18:44,16,"[1, 'Returning']",direct / cpc,,[],0,7,28.0,27,"['US', 'United States']"
495835810600617984,107c2400cc57b5ea,2021-01-22T21:28:54,13,"[1, 'Returning']",google / referral,,[],0,10,13.0,15,"['CN', 'China']"
504240467688336944,1454cad15471c03e,2021-02-10T12:25:41,1,"[1, 'Returning']",credit_card / banner,credit card promotion,[4],23,33,5.0,12,"['JP', 'Japan']"
516623119410593807,26e97c33e5647dbd,2021-03-29T16:05:04,15,"[1, 'Returning']",www.wsj.com / referral,,[],4,12,1.0,4,"['US', 'United States']"
517339400138959559,75135c157c937800,2021-01-10T20:56:56,17,"[1, 'Returning']",www.economist.com / referral,,[],1,4,11.0,22,"['RU', 'Russia']"
519268986865102429,2fcc04bc6855b200,2021-03-26T10:22:39,29,"[1, 'Returning']",www.forbes.com / referral,,[],1,7,17.0,7,"['CA', 'Canada']"
524472474473284611,47bd50f6e1560800,2021-03-09T18:37:59,17,"[1, 'Returning']",adwords / cpc,car loan,[],9,23,23.0,18,"['BE', 'Belgium']"
532680832217304602,63261e6a79b4c400,2021-03-10T15:49:43,16,"[1, 'Returning']",direct / direct,,[],2,8,6.0,26,"['AU', 'Australia']"
533961239935594496,03a9cadc654fee9b,2021-03-21T19:35:06,30,"[1, 'Returning']",direct / ppc,,[],0,4,2.0,23,"['IL', 'Israel']"
534385809912573939,33b1e827817d0b7a,2021-01-01T14:53:47,4,"[1, 'Returning']",bing / organic,,[],19,28,4.0,29,"['IE', 'Ireland']"
543233299816761687,ae72aeb565575800,2021-01-11T01:17:44,3,"[1, 'Returning']",,,[],1,4,10.0,15,"['JP', 'Japan']"
544260936207811092,8602dba466b51800,2021-01-25T13:54:46,27,"[1, 'Returning']",,,[],1,6,21.0,14,"['US', 'United States']"
554573950926499840,7a16395bd5dc4c00,2021-02-10T21:18:47,23,"[1, 'Returning']",bing / organic,,[],0,9,19.0,16,"['US', 'United States']"
558383327269894144,4df39b6a895e1800,2021-02-26T18:34:47,20,"[1, 'Returning']",bing / referral,,[],0,6,29.0,28,"[None, '']"
559064596017834883,aba5811a62f608b7,2021-03-08T19:35:32,9,"[1, 'Returning']",direct / direct,,[],1,4,20.0,18,"['US', 'United States']"
568585052478705722,bc07eb5111824a4a,2021-01-08T05:53:40,21,"[1, 'Returning']",,,[],13,16,5.0,26,"['FI', 'Finland']"
570234841428940528,79a5a19d81127c00,2021-01-27T17:14:42,8,"[1, 'Returning']",direct / direct,,[],7,27,17.0,5,"['JP', 'Japan']"
578304815920389141,1cb7f38953b2f000,2021-02-26T03:54:19,10,"[1, 'Returning']",www.economist.com / referral,,[],1,4,22.0,7,"['ES', 'Spain']"
580074379228676096,39097edb49ab1dc7,2021-01-15T16:54:51,23,"[1, 'Returning']",direct / ppc,,[],2,28,8.0,6,"['KR', 'South Korea']"
587747931318751232,2cd5125593971a00,2021-01-18T07:03:33,24,"[1, 'Returning']",direct / direct,,[],0,3,26.0,10,"['AU', 'Australia']"
589103807298108096,47711207c165f400,2021-03-11T08:24:19,10,"[1, 'Returning']",www.wsj.com / referral,,[],5,25,17.0,12,"['CA', 'Canada']"
603061832070416571,3956a34c766e7a00,2021-01-05T11:21:55,26,"[1, 'Returning']",,,[],1,4,27.0,21,"['BE', 'Belgium']"
615358333943631801,4abbfd324b701000,2021-02-14T19:48:43,2,"[1, 'Returning']",www.wsj.com / referral,,[],1,4,27.0,20,"['US', 'United States']"
619120080549949440,4f906b7b5f2f8400,2021-01-25T11:28:29,10,"[1, 'Returning']",google / organic,car loan,[],0,23,6.0,12,"['AU', 'Australia']"
622746843408314368,84606ccc3c356000,2021-01-21T03:10:51,12,"[1, 'Returning']",bing / cpc,,[],0,8,22.0,0,"['ID', 'Indonesia']"
623322294376645550,461aa748fa44e400,2021-03-05T10:32:04,6,"[1, 'Returning']",direct / direct,,[],1,3,12.0,8,"['US', 'United States']"
630694084402403328,744264db45eda203,2021-02-22T13:11:19,17,"[1, 'Returning']",google / cpc,,[],0,14,3.0,9,"['FR', 'France']"
636958225170960840,4203f3bfcfd78000,2021-02-04T03:37:52,8,"[1, 'Returning']",www.economist.com / referral,,[],1,13,4.0,10,"['IN', 'India']"
638510255360087021,25c227be123bf400,2021-02-14T04:57:42,1,"[1, 'Returning']",www.wsj.com / referral,,[],1,4,23.0,18,"['CN', 'China']"
657119179831105297,39fe22ae76465400,2021-01-03T02:38:36,17,"[1, 'Returning']",credit_card / banner,credit card promotion,[11],6,15,20.0,21,"['US', 'United States']"
657122892748216948,450e320c0ede5800,2021-03-28T10:30:47,20,"[1, 'Returning']",video / cpv,your first loan,[],1,4,13.0,21,"['CA', 'Canada']"
664007073635407872,26e6e7ba181fba00,2021-01-17T17:03:40,25,"[1, 'Returning']",google / direct,your first loan,[],0,10,29.0,7,"[None, '']"
673450503704802690,1c3dd6cdd53ccd9a,2021-01-01T09:01:52,23,"[1, 'Returning']",www.wsj.com / referral,,[],6,16,13.0,3,"['CN', 'China']"
674248793248699709,65cd9043ee47fbbc,2021-02-20T13:47:00,10,"[1, 'Returning']",,,[],1,4,25.0,16,"['LR', 'Liberia']"
683341477042477056,4ad53402d3ca2000,2021-02-18T17:54:51,8,"[1, 'Returning']",google / ppc,your first loan,[],0,6,25.0,26,"['FI', 'Finland']"
683386753693656505,573023325597c000,2021-01-25T16:22:37,26,"[1, 'Returning']",google / organic,,[],1,3,9.0,27,"['JP', 'Japan']"
690957232278359331,16a5f2e8f8407400,2021-01-28T17:49:03,14,"[1, 'Returning']",,,[],1,4,14.0,21,"['GA', 'Gabon']"
705156964056201216,2f173fd1bd949e00,2021-02-20T09:59:07,11,"[1, 'Returning']",google / ppc,,[],0,8,20.0,3,"['BE', 'Belgium']"
706334233051838464,65a0fa8625a9b400,2021-03-04T03:14:50,27,"[1, 'Returning']",bing / referral,,[],0,2,2.0,1,"[None, '']"
707483696491228456,1e24f6ce20b94000,2021-01-16T09:24:20,6,"[1, 'Returning']",,,[],1,5,10.0,3,"['US', 'United States']"
708129645937227776,8a565d0036ec6000,2021-03-15T22:37:38,12,"[1, 'Returning']",direct / ppc,,[],0,6,12.0,17,"['AR', 'Argentina']"
721000358053591040,b718b7437e183078,2021-01-08T02:17:14,5,"[1, 'Returning']",direct / organic,,[],1,8,15.0,18,"['CN', 'China']"
737275683025113142,1cf9f66b73607900,2021-03-04T10:50:57,4,"[1, 'Returning']",video / cpv,your first loan,[],1,4,2.0,4,"['IT', 'Italy']"
759068081057444112,2697b2ae71909800,2021-03-09T15:27:46,17,"[1, 'Returning']",www.economist.com / referral,,[],1,4,22.0,19,"[None, '']"
765084057175169867,4d1c16a10e7da000,2021-03-20T20:43:32,5,"[1, 'Returning']",,,[],3,15,22.0,0,"['US', 'United States']"
783359483679403361,647e112979bb2880,2021-01-07T21:54:20,2,"[1, 'Returning']",banner / cpc,the best saving account,[],1,4,13.0,23,"['UA', 'Ukraine']"
794491235851028570,3ece85a14eb2a800,2021-03-09T20:45:34,18,"[1, 'Returning']",,,[],1,4,25.0,17,"[None, '']"
805763056752574080,187f6b30bcbddc00,2021-03-25T04:19:11,20,"[1, 'Returning']",video / cpv,your first loan,[1],5,19,27.0,0,"[None, '']"
834385277157117952,9e09c8ab8cd11146,2021-02-06T02:08:26,1,"[1, 'Returning']",bing / direct,,[],0,2,10.0,26,"['US', 'United States']"
835819697993748480,33dc6c629017f600,2021-01-22T15:39:39,2,"[1, 'Returning']",google / organic,car loan,[],2,7,17.0,0,"['DE', 'Germany']"
853376259913209856,22d6fccdb1643c00,2021-02-19T17:24:11,13,"[1, 'Returning']",bing / ppc,,[],1,4,6.0,0,"['SG', 'Singapore']"
864874924772509250,50e78dea2a950000,2021-01-29T00:06:15,22,"[1, 'Returning']",www.wsj.com / referral,,"[1, 2]",4,10,10.0,27,"['US', 'United States']"
867660064886556672,926a43080b08d8b2,2021-01-14T04:51:47,25,"[1, 'Returning']",google / direct,,[],0,15,17.0,24,"['CN', 'China']"
885583760473747758,4035898ef7cba800,2021-03-11T01:14:53,11,"[1, 'Returning']",,,[],1,4,25.0,20,"['CN', 'China']"
888066410546107984,3224ea7519b98000,2021-02-12T00:11:42,7,"[1, 'Returning']",,,[],1,4,27.0,21,"['US', 'United States']"
900879989153386446,444f85c1eda5ec00,2021-01-07T09:20:15,9,"[1, 'Returning']",video / cpv,your first loan,[],6,17,20.0,2,"['FR', 'France']"
926832337709423202,32fbea244649f200,2021-02-04T01:09:59,1,"[1, 'Returning']",google / organic,,[],1,4,22.0,21,"['US', 'United States']"
943623361218286568,9e86d48cbacf485d,2021-03-02T19:58:10,8,"[1, 'Returning']",www.economist.com / referral,,[],11,18,28.0,10,"['GB', 'United Kingdom']"
948668720161916928,5c475bcc8f1ebeae,2021-01-02T18:42:57,20,"[1, 'Returning']",google / cpc,your first loan,[],0,10,6.0,7,"['CA', 'Canada']"
956446446009715033,2657fac0c0fab12c,2021-03-30T23:35:01,29,"[1, 'Returning']",www.economist.com / referral,,[],1,26,27.0,5,"['CN', 'China']"
972952867203993607,6bfc7c056f4e9800,2021-03-01T13:30:03,18,"[1, 'Returning']",www.economist.com / referral,,[],4,18,18.0,1,"['US', 'United States']"
974691192714042278,7ab1c4681321d149,2021-02-26T07:29:13,5,"[1, 'Returning']",direct / direct,,[],10,20,13.0,4,"['US', 'United States']"
978562637309478912,ccfffb518320a305,2021-01-24T23:01:47,9,"[1, 'Returning']",google / direct,your first loan,[],0,26,23.0,30,"['GB', 'United Kingdom']"
989080441564063083,63d58f5afd8ca400,2021-03-20T23:21:51,29,"[1, 'Returning']",www.wsj.com / referral,,"[1, 2]",7,23,22.0,3,"['NZ', 'New Zealand']"
1016124744407988412,59f7a940c0572c00,2021-02-21T15:31:18,12,"[1, 'Returning']",,,[],8,23,21.0,26,"['US', 'United States']"
1021986452894243194,8a0ee394d95cb800,2021-01-09T08:05:34,20,"[1, 'Returning']",,,[],1,4,15.0,14,"['GB', 'United Kingdom']"
1039855228919103138,4d624e493f039400,2021-02-25T19:18:58,8,"[1, 'Returning']",www.economist.com / referral,,[],2,6,14.0,23,"['US', 'United States']"
1051421401587986551,15867097858c5500,2021-03-13T05:22:30,19,"[1, 'Returning']",www.wsj.com / referral,,[],1,4,5.0,15,"['CA', 'Canada']"
1053793046901540156,7dc106b154edc800,2021-03-09T04:33:01,16,"[1, 'Returning']",banner / cpc,the best saving account,[],1,4,6.0,20,"['US', 'United States']"
1062487335975062022,3bec5e70dca31c00,2021-03-15T19:11:36,14,"[1, 'Returning']",www.economist.com / referral,,[],1,18,15.0,18,"['ID', 'Indonesia']"
1066149695678374045,40bec2c40e6dd174,2021-01-04T23:22:54,11,"[1, 'Returning']",www.economist.com / referral,,[],4,8,5.0,26,"['JP', 'Japan']"
1070096692383264868,5c9d4448050f5800,2021-03-29T15:09:44,6,"[1, 'Returning']",www.wsj.com / referral,,[],1,4,15.0,13,"['CN', 'China']"
1083114067396034560,390a47e329966e00,2021-02-09T08:46:27,13,"[1, 'Returning']",bing / organic,,[],3,20,10.0,17,"[None, '']"
1095013769165829434,3d73a7566b4d3e00,2021-02-16T14:28:49,14,"[1, 'Returning']",,,[],3,40,27.0,13,"['CO', 'Colombia']"
1101150577035650825,729e172c6c7efc00,2021-02-28T01:09:07,19,"[1, 'Returning']",www.economist.com / referral,,[],7,24,20.0,16,"['JP', 'Japan']"
1101223710158232774,3dc5dff65bc99a00,2021-01-19T01:37:39,22,"[1, 'Returning']",banner / cpc,the best saving account,[],1,4,22.0,9,"['US', 'United States']"
1102101038335735808,576144a85e24c03a,2021-03-22T17:43:09,9,"[1, 'Returning']",direct / cpc,,[],0,9,17.0,4,"['US', 'United States']"
1106734987890067456,1cfbc80a8f91f01e,2021-03-05T15:51:45,20,"[1, 'Returning']",bing / ppc,,[],0,3,15.0,3,"['US', 'United States']"
1112852761027126108,6bfc7c056f4e9800,2021-01-28T04:40:12,9,"[1, 'Returning']",www.forbes.com / referral,,[],1,3,10.0,4,"['US', 'United States']"
1121505801876410368,7e33c7268d438c00,2021-02-05T22:12:10,12,"[1, 'Returning']",bing / cpc,,[],0,9,10.0,7,"['DE', 'Germany']"
1122797008795852800,13dc4e2b0dfd1600,2021-03-12T13:07:51,6,"[1, 'Returning']",google / organic,,[],0,4,12.0,4,"['US', 'United States']"
1124182577629069312,6a11c33373940400,2021-02-12T01:45:52,24,"[1, 'Returning']",bing / direct,credit card promotion,[],0,4,17.0,25,"['US', 'United States']"
1134980417776670720,f168f3b34d0fc554,2021-03-26T22:16:10,29,"[1, 'Returning']",direct / organic,,[],0,5,28.0,3,"['US', 'United States']"
1147702679228914174,dff5431865718800,2021-01-31T20:48:55,23,"[1, 'Returning']",video / cpv,your first loan,[],1,4,29.0,20,"['AU', 'Australia']"
1153108592547331936,392bec84b3d52e00,2021-03-04T16:07:13,21,"[1, 'Returning']",,,[],1,10,1.0,29,"['US', 'United States']"
1154505460165035981,5cf996525ad46800,2021-01-18T05:40:13,26,"[1, 'Returning']",,,[],1,4,22.0,29,"['IN', 'India']"
1162204665146276312,783b289f45ffbc00,2021-02-13T09:39:36,3,"[1, 'Returning']",direct / direct,,"[2, 4]",17,40,20.0,23,"['DE', 'Germany']"
1180763769723055654,6c48c5fdfd8bcc00,2021-03-23T09:59:48,17,"[1, 'Returning']",google / organic,,[],1,15,26.0,4,"['US', 'United States']"
1205055481177871255,8915cb9a92d86000,2021-01-31T21:33:03,17,"[1, 'Returning']",www.forbes.com / referral,,[],1,4,4.0,3,"[None, '']"
1209601195528865792,38c651e8263d4400,2021-03-15T06:48:11,17,"[1, 'Returning']",direct / direct,,[],0,9,23.0,17,"['US', 'United States']"
1211437191753359317,3a0fb4b6e560f000,2021-01-17T07:54:36,15,"[1, 'Returning']",www.economist.com / referral,,[],6,17,27.0,4,"['US', 'United States']"
1215216264254558208,664c3f5c2181614e,2021-03-02T09:37:29,24,"[1, 'Returning']",google / cpc,,[],1,25,5.0,3,"['CH', 'Switzerland']"
1217006735634806651,1f5794324ef31000,2021-02-25T20:34:39,23,"[1, 'Returning']",www.wsj.com / referral,,"[2, 1, 9, 6]",8,40,20.0,16,"['US', 'United States']"
1217459671211521192,1d7e6581a3487700,2021-01-09T22:41:42,3,"[1, 'Returning']",bing / organic,,[2],5,24,19.0,25,"['EG', 'Egypt']"
1218868270720621674,3f4e6a587ce15d77,2021-01-31T22:13:00,18,"[1, 'Returning']",banner / cpc,the best saving account,[],1,9,5.0,30,"['JP', 'Japan']"
1232393213982524027,36f949b998c29e00,2021-02-02T06:12:49,6,"[1, 'Returning']",,,[],1,4,22.0,7,"[None, '']"
1241097749134753792,57f69953cd849a19,2021-03-06T01:44:00,26,"[1, 'Returning']",bing / direct,the best saving account,[],1,27,25.0,6,"['AU', 'Australia']"
1245433454129784086,3f6d0cb4e369b800,2021-01-02T02:10:05,27,"[1, 'Returning']",bing / organic,,[],1,8,28.0,24,"['IL', 'Israel']"
1262780615935815516,584c822bfa325800,2021-03-16T01:38:49,3,"[1, 'Returning']",video / cpv,your first loan,[4],7,22,6.0,12,"['CN', 'China']"
1268340874961023993,4f85900d54be9a23,2021-02-24T23:45:28,5,"[1, 'Returning']",video / cpv,your first loan,[],1,4,25.0,8,"['TN', 'Tunisia']"
1270455235304969314,4e6c5af69d527a23,2021-03-21T00:38:08,22,"[1, 'Returning']",banner / cpc,the best saving account,[],1,4,15.0,18,"[None, '']"
1287429400516444160,19077f1048e2ff00,2021-02-08T23:00:13,16,"[1, 'Returning']",direct / organic,,[],0,15,8.0,28,"['JP', 'Japan']"
1303201411858830773,09e129238b851760,2021-01-04T06:25:21,28,"[1, 'Returning']",www.economist.com / referral,,[],2,9,16.0,5,"['GB', 'United Kingdom']"
1307860846395037424,3f2c9088c07cc600,2021-01-04T12:13:49,14,"[1, 'Returning']",bing / organic,,[],1,4,14.0,29,"['CN', 'China']"
1328299487351767975,378857d0159e8a00,2021-03-22T21:38:35,28,"[1, 'Returning']",www.economist.com / referral,,[],3,20,25.0,10,"['US', 'United States']"
1330754694627756032,25528fcfb83eac00,2021-01-05T23:38:35,14,"[1, 'Returning']",direct / direct,,[],0,1,6.0,10,"['US', 'United States']"
1360454186528662042,7f1f253ef5212c00,2021-02-10T13:26:34,13,"[1, 'Returning']",,,[4],4,26,23.0,4,"['GB', 'United Kingdom']"
1374937371896350720,43f3c3f559d49000,2021-02-12T17:16:03,16,"[1, 'Returning']",bing / organic,,[],4,15,20.0,10,"['US', 'United States']"
1383498354084762963,85488c1b34ac4000,2021-03-29T06:49:22,3,"[1, 'Returning']",www.wsj.com / referral,,[],1,21,1.0,11,"['US', 'United States']"
1402697248236732878,2050b37beab3ba00,2021-01-03T09:49:23,22,"[1, 'Returning']",,,[],1,4,28.0,29,"['US', 'United States']"
1404776007364999168,188ac766daab0500,2021-03-06T13:22:45,10,"[1, 'Returning']",bing / cpc,,[],2,14,0.0,15,"['US', 'United States']"
1410725420547021104,51a4d3b6eb3eb000,2021-03-21T11:50:45,20,"[1, 'Returning']",adwords / cpc,car loan,[4],5,12,25.0,3,"['BE', 'Belgium']"
1412461284218400768,bea16d2dfc7640f6,2021-02-17T05:33:23,3,"[1, 'Returning']",google / cpc,,[],0,4,21.0,24,"[None, '']"
1420045302619652999,3849bce49f2de10e,2021-01-12T07:10:24,6,"[1, 'Returning']",video / cpv,your first loan,[4],10,36,3.0,18,"['IT', 'Italy']"
1435526456806359040,498eaa88596a528a,2021-01-07T07:03:01,16,"[1, 'Returning']",bing / organic,the best saving account,[],0,18,14.0,29,"[None, '']"
1443213907905739361,2ead5960b99a9200,2021-02-23T12:06:49,16,"[1, 'Returning']",www.economist.com / referral,,[],2,8,3.0,21,"['US', 'United States']"
1457351543544954957,107e5785d0b8cf00,2021-03-13T14:13:11,22,"[1, 'Returning']",www.economist.com / referral,,[],1,4,2.0,2,"['GB', 'United Kingdom']"
1464196463284137677,0c5f4867bdb32f7c,2021-02-13T12:34:57,23,"[1, 'Returning']",video / cpv,your first loan,[],1,4,11.0,29,"['US', 'United States']"
1478352469196443648,8a3661bf0560d751,2021-03-17T00:36:47,21,"[1, 'Returning']",bing / cpc,,[],0,3,27.0,30,"['VN', 'Vietnam']"
1481682818089345024,6dc8f9e8731dbc00,2021-03-02T11:02:29,1,"[1, 'Returning']",bing / referral,,[],0,10,11.0,16,"['US', 'United States']"
1484685170263662592,7a42c0ee7280b800,2021-01-14T00:26:55,22,"[1, 'Returning']",bing / direct,the best saving account,[],4,12,28.0,1,"['US', 'United States']"
1492320634333017802,15170ad4a10c9f00,2021-01-05T15:09:40,1,"[1, 'Returning']",www.economist.com / referral,,[],1,3,6.0,12,"['US', 'United States']"
1498130815250794231,80530919c7486800,2021-03-07T22:16:43,25,"[1, 'Returning']",google / organic,,[],1,7,16.0,17,"['RU', 'Russia']"
1530130513635182955,75ed3904eb78b000,2021-02-26T18:28:59,1,"[1, 'Returning']",bing / organic,,[],1,4,8.0,6,"['US', 'United States']"
1536251834445572096,4e1529453cc13000,2021-03-24T22:00:18,28,"[1, 'Returning']",direct / ppc,,[],0,1,20.0,13,"['US', 'United States']"
1564475781183801251,0901944902e04666,2021-01-29T05:23:50,21,"[1, 'Returning']",video / cpv,your first loan,[],1,3,19.0,6,"['KR', 'South Korea']"
1576565225844400537,646e2fccaa9ed000,2021-01-15T10:13:28,1,"[1, 'Returning']",adwords / cpc,car loan,[2],5,12,21.0,26,"[None, '']"
1578319147899315313,b4913bdd540da4fa,2021-02-28T23:10:47,23,"[1, 'Returning']",,,[4],12,41,4.0,22,"['CN', 'China']"
